,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
2,2.0,3.0,1.0,1.0,PIT,Field Goal,-20.0,"2,3",63.0
3,1.0,10.0,1.0,1.0,PIT,Field Goal,-20.0,"1,10",58.0
4,2.0,1.0,1.0,1.0,PIT,Field Goal,-20.0,"2,1",49.0
5,1.0,10.0,1.0,1.0,PIT,Field Goal,-20.0,"1,10",46.0
6,1.0,5.0,1.0,1.0,PIT,Field Goal,-20.0,"1,5",41.0
7,1.0,10.0,1.0,1.0,PIT,Field Goal,-20.0,"1,10",31.0
8,2.0,6.0,1.0,1.0,PIT,Field Goal,-20.0,"2,6",27.0
9,3.0,12.0,1.0,1.0,PIT,Field Goal,-20.0,"3,12",33.0
10,1.0,10.0,0.0,1.0,PIT,Field Goal,-20.0,"1,10",18.0
11,2.0,2.0,0.0,1.0,PIT,Field Goal,-20.0,"2,2",10.0
12,3.0,1.0,0.0,1.0,PIT,Field Goal,-20.0,"3,1",9.0
13,4.0,1.0,0.0,1.0,PIT,Field Goal,-20.0,"4,1",9.0
14,4.0,6.0,0.0,1.0,PIT,Field Goal,-20.0,"4,6",14.0
1,1.0,10.0,1.0,1.0,TEN,Punt,-32.0,"1,10",82.0
2,1.0,10.0,0.0,1.0,TEN,Punt,-32.0,"1,10",70.0
3,2.0,10.0,0.0,1.0,TEN,Punt,-32.0,"2,10",70.0
4,3.0,10.0,0.0,1.0,TEN,Punt,-32.0,"3,10",70.0
6,4.0,10.0,0.0,1.0,TEN,Punt,-32.0,"4,10",70.0
0,1.0,10.0,1.0,1.0,PIT,Fumble,-8.0,"1,10",58.0
1,1.0,10.0,1.0,1.0,PIT,Fumble,-8.0,"1,10",46.0
2,2.0,7.0,1.0,1.0,PIT,Fumble,-8.0,"2,7",43.0
4,1.0,10.0,0.0,1.0,PIT,Fumble,-8.0,"1,10",34.0
0,1.0,10.0,0.0,1.0,TEN,End of Half,-46.0,"1,10",96.0
2,2.0,8.0,0.0,1.0,TEN,End of Half,-46.0,"2,8",94.0
3,2.0,11.0,0.0,1.0,TEN,End of Half,-46.0,"2,11",97.0
5,3.0,10.0,0.0,1.0,TEN,End of Half,-46.0,"3,10",96.0
1,1.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"1,10",71.0
2,2.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"2,10",71.0
3,3.0,3.0,1.0,1.0,ATL,Missed FG,-21.0,"3,3",64.0
4,1.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"1,10",57.0
5,2.0,6.0,1.0,1.0,ATL,Missed FG,-21.0,"2,6",53.0
6,3.0,4.0,1.0,1.0,ATL,Missed FG,-21.0,"3,4",51.0
7,1.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"1,10",49.0
8,2.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"2,10",49.0
9,1.0,10.0,1.0,1.0,ATL,Missed FG,-21.0,"1,10",39.0
10,1.0,10.0,0.0,1.0,ATL,Missed FG,-21.0,"1,10",28.0
11,2.0,6.0,0.0,1.0,ATL,Missed FG,-21.0,"2,6",24.0
12,3.0,6.0,0.0,1.0,ATL,Missed FG,-21.0,"3,6",24.0
13,4.0,6.0,0.0,1.0,ATL,Missed FG,-21.0,"4,6",24.0
0,1.0,10.0,0.0,1.0,MIA,Fumble,-18.0,"1,10",68.0
1,2.0,7.0,0.0,1.0,MIA,Fumble,-18.0,"2,7",65.0
2,3.0,5.0,0.0,1.0,MIA,Fumble,-18.0,"3,5",63.0
0,1.0,10.0,1.0,1.0,ATL,Punt,13.0,"1,10",37.0
1,1.0,10.0,0.0,1.0,ATL,Punt,13.0,"1,10",37.0
2,2.0,10.0,0.0,1.0,ATL,Punt,13.0,"2,10",37.0
3,3.0,18.0,0.0,1.0,ATL,Punt,13.0,"3,18",45.0
4,4.0,18.0,0.0,1.0,ATL,Punt,13.0,"4,18",45.0
0,1.0,10.0,1.0,1.0,MIA,Punt,-38.0,"1,10",88.0
1,2.0,10.0,1.0,1.0,MIA,Punt,-38.0,"2,10",88.0
2,1.0,10.0,1.0,1.0,MIA,Punt,-38.0,"1,10",78.0
3,2.0,8.0,1.0,1.0,MIA,Punt,-38.0,"2,8",76.0
4,3.0,5.0,1.0,1.0,MIA,Punt,-38.0,"3,5",73.0
5,1.0,10.0,1.0,1.0,MIA,Punt,-38.0,"1,10",67.0
6,1.0,10.0,0.0,1.0,MIA,Punt,-38.0,"1,10",53.0
7,2.0,8.0,0.0,1.0,MIA,Punt,-38.0,"2,8",51.0
8,3.0,4.0,0.0,1.0,MIA,Punt,-38.0,"3,4",47.0
9,4.0,11.0,0.0,1.0,MIA,Punt,-38.0,"4,11",54.0
0,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",89.0
1,2.0,9.0,1.0,1.0,ATL,Touchdown,-39.0,"2,9",88.0
3,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",79.0
4,2.0,8.0,1.0,1.0,ATL,Touchdown,-39.0,"2,8",77.0
5,2.0,15.0,1.0,1.0,ATL,Touchdown,-39.0,"2,15",84.0
6,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",62.0
7,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",50.0
8,2.0,11.0,1.0,1.0,ATL,Touchdown,-39.0,"2,11",51.0
9,3.0,11.0,1.0,1.0,ATL,Touchdown,-39.0,"3,11",51.0
10,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",37.0
11,2.0,9.0,1.0,1.0,ATL,Touchdown,-39.0,"2,9",36.0
12,3.0,8.0,1.0,1.0,ATL,Touchdown,-39.0,"3,8",35.0
13,1.0,10.0,1.0,1.0,ATL,Touchdown,-39.0,"1,10",20.0
14,1.0,1.0,1.0,1.0,ATL,Touchdown,-39.0,"1,1",1.0
1,1.0,10.0,1.0,1.0,MIA,Punt,-36.0,"1,10",86.0
2,2.0,6.0,1.0,1.0,MIA,Punt,-36.0,"2,6",82.0
3,1.0,10.0,0.0,1.0,MIA,Punt,-36.0,"1,10",66.0
4,2.0,6.0,0.0,1.0,MIA,Punt,-36.0,"2,6",62.0
5,3.0,6.0,0.0,1.0,MIA,Punt,-36.0,"3,6",62.0
6,4.0,6.0,0.0,1.0,MIA,Punt,-36.0,"4,6",62.0
0,1.0,10.0,0.0,1.0,ATL,Punt,-26.0,"1,10",76.0
1,2.0,7.0,0.0,1.0,ATL,Punt,-26.0,"2,7",73.0
2,2.0,2.0,0.0,1.0,ATL,Punt,-26.0,"2,2",68.0
3,3.0,1.0,0.0,1.0,ATL,Punt,-26.0,"3,1",67.0
4,4.0,1.0,0.0,1.0,ATL,Punt,-26.0,"4,1",67.0
0,1.0,10.0,1.0,1.0,MIA,Fumble,-14.0,"1,10",64.0
1,2.0,3.0,1.0,1.0,MIA,Fumble,-14.0,"2,3",57.0
2,3.0,3.0,1.0,1.0,MIA,Fumble,-14.0,"3,3",57.0
3,1.0,10.0,1.0,1.0,MIA,Fumble,-14.0,"1,10",42.0
4,2.0,5.0,1.0,1.0,MIA,Fumble,-14.0,"2,5",37.0
6,1.0,10.0,0.0,1.0,MIA,Fumble,-14.0,"1,10",16.0
0,1.0,10.0,1.0,1.0,ATL,Field Goal,19.0,"1,10",31.0
1,1.0,10.0,0.0,1.0,ATL,Field Goal,19.0,"1,10",20.0
