,Field Position,Result
0,75.0,Punt
1,72.0,Punt
2,86.0,Field Goal
3,85.0,Punt
4,74.0,Field Goal
5,84.0,Touchdown
6,78.0,Fumble
7,70.0,End of Half
8,76.0,Punt
9,79.0,Field Goal
10,75.0,Fumble
11,93.0,Punt
12,49.0,Punt
13,80.0,Downs
14,96.0,Downs
0,70.0,Punt
1,54.0,Touchdown
2,80.0,Interception
3,66.0,Interception
4,32.0,Field Goal
5,77.0,Touchdown
6,73.0,Field Goal
7,72.0,Punt
8,95.0,Punt
9,50.0,Punt
10,91.0,Fumble
11,8.0,Touchdown
12,65.0,End of Half
