,Field Position,Result
7,73.0,Punt
8,85.0,Touchdown
9,78.0,End of Half
10,39.0,Touchdown
11,78.0,Punt
12,64.0,Fumble
13,45.0,Touchdown
14,53.0,Touchdown
15,85.0,Punt
16,54.0,Field Goal
17,61.0,Downs
18,43.0,Field Goal
19,82.0,Downs
20,52.0,Field Goal
21,74.0,Touchdown
0,89.0,Downs
1,85.0,Punt
2,73.0,Touchdown
3,80.0,Punt
4,72.0,Touchdown
5,,
6,20.0,Field Goal
7,80.0,Punt
8,79.0,Punt
9,75.0,Punt
10,78.0,Punt
11,59.0,Touchdown
12,79.0,End of Half
13,65.0,Punt
14,78.0,Punt
15,80.0,Punt
16,72.0,Touchdown
17,80.0,Field Goal
18,90.0,Touchdown
19,80.0,Punt
20,60.0,Punt
21,90.0,Touchdown
0,37.0,Field Goal
1,81.0,Downs
2,92.0,Field Goal
3,78.0,Punt
4,76.0,Punt
5,80.0,Fumble
6,66.0,Downs
7,61.0,Field Goal
8,,
9,87.0,Punt
10,80.0,Field Goal
11,72.0,Field Goal
12,77.0,Interception
13,30.0,Field Goal
14,84.0,Field Goal
15,77.0,Punt
16,79.0,Punt
17,84.0,Punt
18,71.0,Touchdown
19,82.0,Missed FG
0,92.0,Fumble
1,21.0,Punt
2,90.0,Touchdown
3,72.0,Punt
4,87.0,Punt
5,71.0,Punt
6,86.0,Downs
7,99.0,Punt
8,33.0,Field Goal
9,92.0,Punt
10,70.0,Punt
11,85.0,Field Goal
12,63.0,End of Half
13,74.0,Punt
14,88.0,Field Goal
15,78.0,Punt
16,68.0,Missed FG
17,62.0,Downs
18,58.0,Punt
19,60.0,Touchdown
20,83.0,Punt
21,75.0,Missed FG
22,59.0,Punt
23,80.0,Field Goal
24,79.0,Missed FG
25,57.0,Interception
26,74.0,Punt
27,74.0,Punt
28,81.0,Interception
0,41.0,Field Goal
1,78.0,Punt
2,66.0,Punt
3,63.0,Fumble
4,73.0,Punt
5,71.0,Field Goal
6,,
7,74.0,Punt
8,81.0,Touchdown
9,78.0,Field Goal
10,80.0,Touchdown
11,49.0,End of Half
12,79.0,Punt
13,41.0,Touchdown
14,61.0,Downs
15,62.0,Punt
16,81.0,Punt
17,82.0,Field Goal
18,76.0,Interception
19,30.0,Field Goal
20,77.0,Interception
21,83.0,Downs
0,38.0,Touchdown
1,61.0,Field Goal
2,68.0,Touchdown
3,67.0,Interception
4,27.0,Field Goal
5,80.0,Punt
6,9.0,Interception
7,94.0,Punt
8,81.0,Interception
9,76.0,Punt
10,57.0,Punt
11,84.0,Punt
12,59.0,Interception
13,42.0,Punt
14,90.0,Punt
15,70.0,Punt
16,84.0,Punt
17,61.0,Punt
18,92.0,Punt
19,53.0,Missed FG
20,59.0,Interception
21,43.0,Field Goal
22,72.0,Punt
23,53.0,Punt
24,73.0,Punt
25,85.0,Punt
26,50.0,Field Goal
27,80.0,Interception
28,23.0,Field Goal
29,60.0,Interception
0,79.0,Punt
1,72.0,Punt
2,93.0,Punt
3,72.0,Punt
4,55.0,Touchdown
5,81.0,Punt
6,94.0,Interception
7,72.0,Punt
8,99.0,Interception
9,77.0,Punt
10,51.0,Fumble
11,82.0,Field Goal
12,76.0,End of Half
13,77.0,Punt
14,74.0,Punt
15,80.0,Touchdown
16,72.0,Field Goal
17,,
18,29.0,Touchdown
19,80.0,Punt
20,94.0,Punt
21,80.0,Punt
22,59.0,Interception
23,50.0,Touchdown
24,84.0,Interception
25,34.0,Field Goal
0,75.0,Fumble
1,47.0,Punt
2,91.0,Punt
3,71.0,Punt
4,82.0,Punt
5,72.0,Field Goal
6,56.0,Touchdown
7,82.0,Field Goal
8,76.0,Punt
9,67.0,Missed FG
10,80.0,End of Half
11,85.0,Fumble
12,24.0,Field Goal
13,68.0,Touchdown
14,77.0,Punt
15,99.0,Punt
16,58.0,Punt
17,80.0,Punt
18,80.0,Interception
19,79.0,Interception
0,76.0,Punt
1,91.0,Punt
2,54.0,Punt
3,85.0,Touchdown
4,90.0,Interception
5,40.0,Touchdown
6,93.0,Punt
7,55.0,Touchdown
8,55.0,Field Goal
9,80.0,Punt
10,53.0,Punt
11,97.0,Field Goal
12,77.0,End of Half
13,76.0,Punt
14,83.0,Fumble
15,47.0,Interception
16,52.0,Punt
17,80.0,Interception
18,17.0,Touchdown
19,71.0,Field Goal
20,87.0,Punt
21,83.0,Punt
22,78.0,Punt
23,73.0,Touchdown
24,83.0,Downs
0,45.0,Interception
1,49.0,Field Goal
2,80.0,Punt
3,76.0,Touchdown
4,50.0,Field Goal
5,80.0,Punt
6,76.0,Punt
7,99.0,Interception
8,2.0,Touchdown
9,72.0,Field Goal
10,72.0,End of Half
11,80.0,Punt
12,60.0,Field Goal
13,72.0,Missed FG
14,80.0,Field Goal
15,78.0,Fumble
16,75.0,Interception
17,61.0,Punt
18,89.0,Punt
19,72.0,Punt
20,80.0,Touchdown
21,35.0,Punt
22,91.0,Interception
0,80.0,Touchdown
1,80.0,Punt
2,86.0,Field Goal
3,73.0,Field Goal
4,67.0,Touchdown
5,71.0,Punt
6,84.0,Punt
7,75.0,Touchdown
8,85.0,End of Half
9,75.0,Touchdown
10,80.0,Punt
11,65.0,Missed FG
12,66.0,Punt
13,91.0,Interception
14,80.0,Field Goal
15,64.0,Field Goal
16,80.0,Punt
17,88.0,Interception
18,1.0,Touchdown
19,60.0,Touchdown
20,5.0,Touchdown
21,76.0,Downs
22,43.0,Punt
23,77.0,Interception
0,78.0,Safety
1,50.0,Field Goal
2,80.0,Blocked Punt
3,80.0,Fumble
4,86.0,Punt
5,72.0,Fumble
6,81.0,Punt
7,77.0,Touchdown
8,64.0,Punt
9,81.0,Touchdown
10,67.0,Field Goal
11,69.0,Field Goal
12,,
13,84.0,Punt
14,66.0,Punt
15,46.0,Downs
16,63.0,Touchdown
17,97.0,Touchdown
18,80.0,Field Goal
19,73.0,Touchdown
20,72.0,Fumble
21,85.0,Downs
0,51.0,Touchdown
1,75.0,Touchdown
2,74.0,Fumble
3,45.0,Field Goal
4,71.0,Interception
5,97.0,Punt
6,80.0,Punt
7,53.0,Touchdown
8,80.0,Field Goal
9,63.0,Fumble
10,35.0,Missed FG
11,70.0,End of Half
12,80.0,Punt
13,82.0,Fumble
14,56.0,Downs
15,70.0,Punt
16,84.0,Missed FG
17,56.0,Fumble
18,60.0,Punt
19,80.0,Punt
20,69.0,Touchdown
21,64.0,Field Goal
22,36.0,Touchdown
23,80.0,Punt
24,68.0,Interception
0,60.0,Punt
1,79.0,Punt
2,89.0,Punt
3,40.0,Field Goal
4,69.0,Punt
5,86.0,Punt
6,94.0,Punt
7,73.0,Punt
8,73.0,Punt
9,68.0,Field Goal
10,75.0,Fumble
11,47.0,Field Goal
12,58.0,End of Half
13,70.0,Punt
14,49.0,Fumble
15,46.0,Field Goal
16,82.0,Punt
17,77.0,Punt
18,72.0,Touchdown
19,19.0,Field Goal
20,65.0,Touchdown
21,79.0,Punt
22,91.0,Punt
23,66.0,Touchdown
24,54.0,Touchdown
25,78.0,Punt
26,84.0,Interception
0,74.0,Field Goal
1,74.0,Touchdown
2,76.0,Punt
3,59.0,Interception
4,86.0,Touchdown
5,66.0,Punt
6,66.0,Punt
7,91.0,Punt
8,83.0,Punt
9,88.0,Field Goal
10,85.0,End of Half
11,82.0,Field Goal
12,77.0,Interception
13,59.0,Downs
14,74.0,Field Goal
15,60.0,Punt
16,78.0,Punt
17,51.0,Touchdown
18,69.0,Touchdown
19,57.0,End of Half
20,75.0,Punt
21,84.0,Punt
0,76.0,Punt
1,51.0,Field Goal
2,66.0,Punt
3,80.0,Punt
4,65.0,Interception
5,80.0,Touchdown
6,79.0,Punt
7,62.0,Punt
8,80.0,Punt
9,67.0,Touchdown
10,76.0,Field Goal
11,80.0,End of Half
12,79.0,Punt
13,62.0,Punt
14,80.0,Punt
15,68.0,Touchdown
16,69.0,Punt
17,85.0,Punt
18,74.0,Punt
19,73.0,Missed FG
20,61.0,Field Goal
21,76.0,Touchdown
0,89.0,Field Goal
1,78.0,Punt
2,78.0,Punt
3,66.0,Touchdown
4,73.0,Touchdown
5,80.0,Punt
6,91.0,Punt
7,95.0,Punt
8,59.0,Punt
9,92.0,Punt
10,55.0,Punt
11,88.0,End of Half
12,80.0,Interception
13,36.0,Touchdown
14,80.0,Field Goal
15,91.0,Field Goal
16,60.0,Touchdown
17,80.0,Punt
18,86.0,Field Goal
19,80.0,Punt
20,53.0,Interception
21,80.0,Punt
22,65.0,Punt
23,83.0,Punt
24,88.0,Punt
25,81.0,Punt
0,65.0,Interception
1,71.0,Interception
2,35.0,Field Goal
3,81.0,Touchdown
4,80.0,Punt
5,98.0,Punt
6,84.0,Punt
7,94.0,Punt
8,73.0,Punt
9,91.0,Punt
10,96.0,Touchdown
11,72.0,Punt
12,92.0,Punt
13,80.0,Punt
14,61.0,Punt
15,13.0,Touchdown
16,70.0,Touchdown
17,39.0,Punt
18,97.0,Interception
19,18.0,Touchdown
0,74.0,Touchdown
1,80.0,Punt
2,83.0,Punt
3,84.0,Punt
4,88.0,Punt
5,74.0,Touchdown
6,81.0,Punt
7,80.0,Punt
8,63.0,Touchdown
9,72.0,End of Half
10,73.0,Punt
11,77.0,Touchdown
12,66.0,Touchdown
13,71.0,Field Goal
14,46.0,Touchdown
15,70.0,Touchdown
16,86.0,Touchdown
17,67.0,Punt
18,80.0,Touchdown
0,66.0,Fumble
1,43.0,Touchdown
2,75.0,Punt
3,96.0,Punt
4,40.0,Touchdown
5,84.0,Punt
6,54.0,Punt
7,80.0,Punt
8,93.0,Touchdown
9,80.0,Field Goal
10,64.0,Fumble
11,57.0,Touchdown
12,69.0,Punt
13,74.0,Punt
14,87.0,Touchdown
15,79.0,Punt
16,50.0,Punt
17,89.0,Punt
18,87.0,Fumble
19,58.0,Touchdown
20,40.0,Field Goal
21,68.0,Punt
22,86.0,Interception
0,80.0,Punt
1,53.0,Touchdown
2,75.0,Missed FG
3,69.0,Touchdown
4,80.0,Punt
5,58.0,Punt
6,88.0,Punt
7,53.0,Missed FG
8,73.0,Punt
9,34.0,Touchdown
10,74.0,Interception
11,82.0,Interception
12,31.0,Touchdown
13,94.0,End of Half
14,64.0,Punt
15,73.0,Field Goal
16,80.0,Touchdown
17,78.0,Punt
18,94.0,Missed FG
19,63.0,Punt
20,70.0,Missed FG
21,73.0,Touchdown
22,44.0,Field Goal
23,80.0,Fumble
0,80.0,Touchdown
1,80.0,Touchdown
2,80.0,Punt
3,65.0,Punt
4,83.0,Punt
5,37.0,Punt
6,95.0,Punt
7,37.0,Touchdown
8,81.0,Field Goal
9,74.0,Punt
10,74.0,Punt
11,94.0,Punt
12,92.0,Field Goal
13,85.0,End of Half
14,55.0,Punt
15,90.0,Safety
16,63.0,Punt
17,64.0,Punt
18,93.0,Punt
19,48.0,Punt
20,92.0,Touchdown
21,91.0,Punt
22,71.0,Punt
23,92.0,Punt
24,62.0,Punt
25,99.0,Missed FG
26,56.0,Punt
0,73.0,Punt
1,94.0,Touchdown
2,75.0,Punt
3,80.0,Touchdown
4,78.0,Punt
5,87.0,Field Goal
6,78.0,Missed FG
7,70.0,Interception
8,64.0,End of Half
9,92.0,Missed FG
10,77.0,Fumble
11,46.0,Touchdown
12,79.0,Missed FG
13,63.0,Punt
14,88.0,Touchdown
15,45.0,Touchdown
16,75.0,Downs
0,80.0,Punt
1,40.0,Fumble
2,83.0,Punt
3,69.0,Punt
4,80.0,Interception
5,33.0,Downs
6,77.0,Touchdown
7,80.0,Touchdown
8,55.0,Punt
9,80.0,Punt
10,79.0,Punt
11,67.0,Interception
12,65.0,Field Goal
13,80.0,Missed FG
14,61.0,Field Goal
15,80.0,Punt
16,81.0,Punt
17,66.0,Touchdown
18,76.0,Fumble
19,81.0,Punt
20,53.0,Punt
21,93.0,Punt
22,54.0,Touchdown
23,80.0,Field Goal
24,80.0,Touchdown
25,80.0,Fumble
0,88.0,Field Goal
1,71.0,Punt
2,91.0,Field Goal
3,80.0,Punt
4,66.0,Interception
5,57.0,Punt
6,80.0,Punt
7,63.0,Punt
8,83.0,Punt
9,69.0,Punt
10,93.0,Punt
11,84.0,Field Goal
12,71.0,End of Half
13,79.0,Punt
14,51.0,Punt
15,91.0,Touchdown
16,89.0,Punt
17,58.0,Punt
18,77.0,Field Goal
19,80.0,Touchdown
20,71.0,Punt
21,62.0,Punt
22,87.0,Interception
0,81.0,Punt
1,71.0,Fumble
2,48.0,Touchdown
3,45.0,Punt
4,84.0,Interception
5,16.0,Touchdown
6,79.0,Punt
7,78.0,Punt
8,82.0,Touchdown
9,72.0,End of Half
10,,
11,77.0,Punt
12,80.0,Punt
13,96.0,Punt
14,49.0,Touchdown
15,65.0,Touchdown
16,82.0,Punt
17,86.0,Interception
18,30.0,Field Goal
19,80.0,Punt
20,75.0,Punt
0,81.0,Punt
1,59.0,Interception
2,57.0,Touchdown
3,86.0,Punt
4,48.0,Punt
5,89.0,Touchdown
6,84.0,Touchdown
7,56.0,Punt
8,86.0,Missed FG
9,72.0,Punt
10,78.0,Field Goal
11,62.0,Missed FG
12,62.0,Missed FG
13,62.0,End of Half
14,75.0,Punt
15,84.0,Fumble
16,13.0,Touchdown
17,66.0,Touchdown
18,86.0,Punt
19,39.0,Field Goal
20,75.0,Fumble
21,83.0,Punt
22,64.0,Field Goal
23,92.0,Touchdown
24,80.0,Punt
25,62.0,Downs
26,38.0,Punt
27,80.0,Interception
0,79.0,Touchdown
1,68.0,Punt
2,90.0,Punt
3,94.0,Punt
4,82.0,Punt
5,72.0,Interception
6,37.0,Touchdown
7,87.0,Punt
8,44.0,Field Goal
9,70.0,Fumble
10,90.0,End of Half
11,71.0,Interception
12,33.0,Field Goal
13,65.0,Field Goal
14,73.0,Field Goal
15,78.0,Interception
16,80.0,Touchdown
0,83.0,Touchdown
1,71.0,Punt
2,91.0,Punt
3,60.0,Field Goal
4,81.0,Field Goal
5,78.0,Punt
6,79.0,Touchdown
7,93.0,Punt
8,83.0,Touchdown
9,76.0,Missed FG
10,74.0,Field Goal
11,82.0,Punt
12,88.0,Touchdown
13,69.0,Interception
14,62.0,Touchdown
15,46.0,Fumble
16,74.0,Touchdown
17,75.0,Fumble
18,48.0,Touchdown
19,86.0,Touchdown
20,36.0,Punt
0,,
1,22.0,Field Goal
2,80.0,Fumble
3,13.0,Field Goal
4,81.0,Punt
5,84.0,Punt
6,90.0,Field Goal
7,79.0,Fumble
8,34.0,Touchdown
9,73.0,Field Goal
10,53.0,Touchdown
11,80.0,Touchdown
12,60.0,End of Half
13,84.0,Punt
14,67.0,Field Goal
15,71.0,Field Goal
16,80.0,Punt
17,59.0,Punt
18,86.0,Punt
19,74.0,Field Goal
20,48.0,Field Goal
21,71.0,Downs
0,76.0,Punt
1,81.0,Punt
2,68.0,Field Goal
3,72.0,Touchdown
4,,
5,15.0,Field Goal
6,80.0,Punt
7,91.0,Touchdown
8,80.0,Touchdown
9,82.0,Touchdown
10,80.0,Field Goal
11,,
12,27.0,Touchdown
13,80.0,End of Half
14,80.0,Interception
15,34.0,Touchdown
16,80.0,Downs
17,65.0,Touchdown
18,80.0,Interception
19,9.0,Fumble
20,86.0,Punt
21,93.0,Punt
22,63.0,Touchdown
23,80.0,Punt
24,91.0,Field Goal
25,80.0,End of Half
26,73.0,Punt
27,78.0,Fumble
0,71.0,Punt
1,88.0,Punt
2,74.0,Touchdown
3,67.0,Field Goal
4,76.0,Punt
5,71.0,Touchdown
6,73.0,Touchdown
7,70.0,Field Goal
8,80.0,End of Half
9,60.0,Touchdown
10,58.0,Touchdown
11,80.0,Punt
12,90.0,Interception
13,75.0,Punt
14,80.0,Downs
15,75.0,Punt
16,85.0,Touchdown
17,76.0,Interception
18,12.0,Touchdown
0,80.0,Punt
1,19.0,Field Goal
2,77.0,Punt
3,56.0,Touchdown
4,80.0,Interception
5,81.0,Punt
6,50.0,Punt
7,98.0,Punt
8,58.0,Field Goal
9,79.0,Field Goal
10,79.0,Interception
11,80.0,Interception
12,72.0,End of Half
13,73.0,Punt
14,93.0,Punt
15,59.0,Punt
16,89.0,Touchdown
17,81.0,Field Goal
18,80.0,Interception
19,76.0,Touchdown
0,77.0,Punt
1,80.0,Punt
2,50.0,Punt
3,70.0,Punt
4,61.0,Interception
5,72.0,Touchdown
6,80.0,Punt
7,50.0,Field Goal
8,90.0,Punt
9,50.0,Punt
10,78.0,Punt
11,56.0,Punt
12,81.0,Punt
13,70.0,Punt
14,70.0,Touchdown
15,82.0,End of Half
16,77.0,Fumble
17,99.0,Punt
18,47.0,Interception
19,61.0,Interception
20,78.0,Interception
21,84.0,Fumble
22,75.0,Fumble
23,93.0,Interception
24,13.0,Missed FG
25,73.0,Punt
26,58.0,Punt
27,81.0,Interception
0,66.0,Punt
1,74.0,Touchdown
2,65.0,Field Goal
3,80.0,Punt
4,84.0,Punt
5,61.0,Punt
6,53.0,Fumble
7,56.0,Field Goal
8,80.0,Touchdown
9,80.0,Punt
10,80.0,End of Half
11,80.0,Punt
12,57.0,Field Goal
13,81.0,Punt
14,72.0,Fumble
15,59.0,Field Goal
16,89.0,Interception
17,82.0,Punt
18,71.0,Punt
19,56.0,Downs
20,84.0,Punt
21,63.0,Touchdown
22,80.0,Interception
23,57.0,Field Goal
0,70.0,Punt
1,87.0,Fumble
2,6.0,Field Goal
3,79.0,Field Goal
4,67.0,Punt
5,80.0,Touchdown
6,81.0,Punt
7,45.0,Touchdown
8,64.0,Field Goal
9,78.0,End of Half
10,60.0,Punt
11,95.0,Field Goal
12,85.0,Punt
13,69.0,Field Goal
14,73.0,Punt
15,82.0,Punt
16,68.0,Punt
17,81.0,Touchdown
0,80.0,Punt
1,66.0,Punt
2,94.0,Interception
3,66.0,Punt
4,74.0,Punt
5,52.0,Field Goal
6,80.0,Fumble
7,59.0,Interception
8,45.0,Touchdown
9,80.0,Touchdown
10,80.0,Punt
11,57.0,Field Goal
12,,
13,75.0,Field Goal
14,80.0,Interception
15,41.0,Fumble
16,97.0,Field Goal
17,45.0,Field Goal
18,80.0,Touchdown
19,80.0,Punt
20,66.0,Field Goal
21,80.0,Punt
22,53.0,Touchdown
23,80.0,Punt
24,77.0,Punt
25,33.0,Field Goal
0,80.0,Field Goal
1,80.0,Interception
2,52.0,Fumble
3,45.0,Punt
4,63.0,Punt
5,70.0,Punt
6,94.0,Punt
7,39.0,Punt
8,80.0,Punt
9,85.0,Fumble
10,72.0,Punt
11,2.0,Touchdown
12,80.0,Punt
13,86.0,Punt
14,58.0,Punt
15,89.0,End of Half
16,80.0,Fumble
17,11.0,Field Goal
18,16.0,Field Goal
19,70.0,Touchdown
20,84.0,Field Goal
21,33.0,Field Goal
22,65.0,Field Goal
23,74.0,Downs
24,63.0,Downs
0,70.0,Punt
1,87.0,Punt
2,50.0,Field Goal
3,57.0,Punt
4,82.0,Fumble
5,22.0,Touchdown
6,80.0,Fumble
7,59.0,Punt
8,81.0,Fumble
9,8.0,Field Goal
10,71.0,Interception
11,58.0,Punt
12,71.0,Punt
13,52.0,Field Goal
14,82.0,End of Half
15,79.0,Touchdown
16,74.0,Field Goal
17,75.0,Field Goal
18,67.0,Touchdown
19,60.0,Touchdown
20,60.0,Downs
21,47.0,Missed FG
0,80.0,Touchdown
1,80.0,Interception
2,80.0,Fumble
3,21.0,Touchdown
4,80.0,Downs
5,57.0,Field Goal
6,80.0,Punt
7,57.0,Touchdown
8,90.0,Punt
9,69.0,Punt
10,86.0,Fumble
11,14.0,Touchdown
12,80.0,Punt
13,61.0,Punt
14,68.0,Touchdown
15,80.0,End of Half
16,64.0,Touchdown
17,80.0,Touchdown
18,80.0,Punt
19,57.0,Touchdown
20,80.0,Punt
21,68.0,Touchdown
22,80.0,Punt
23,49.0,Punt
24,99.0,Punt
25,72.0,Punt
26,90.0,Downs
0,84.0,Punt
1,61.0,Interception
2,78.0,Punt
3,76.0,Touchdown
4,44.0,Touchdown
5,79.0,Touchdown
6,76.0,Touchdown
7,56.0,Downs
8,63.0,Field Goal
9,72.0,Interception
10,80.0,End of Half
11,70.0,Punt
12,76.0,Interception
13,41.0,Touchdown
14,79.0,Interception
15,58.0,Touchdown
16,76.0,Downs
17,66.0,Interception
18,77.0,Punt
19,83.0,Downs
0,79.0,Interception
1,5.0,Touchdown
2,89.0,Interception
3,18.0,Field Goal
4,79.0,Touchdown
5,60.0,Punt
6,80.0,Fumble
7,43.0,Field Goal
8,80.0,Punt
9,80.0,Touchdown
10,80.0,Punt
11,56.0,Touchdown
12,80.0,Fumble
13,44.0,Field Goal
14,,
15,90.0,Punt
16,55.0,Touchdown
17,80.0,Punt
18,70.0,Touchdown
19,86.0,Punt
20,81.0,Punt
21,75.0,Punt
22,83.0,Punt
23,58.0,Downs
24,94.0,Fumble
25,45.0,Fumble
26,52.0,Interception
27,15.0,Touchdown
28,39.0,Field Goal
29,73.0,Touchdown
0,68.0,Punt
1,58.0,Punt
2,97.0,Punt
3,82.0,Field Goal
4,74.0,Punt
5,79.0,Punt
6,69.0,Punt
7,89.0,Punt
8,82.0,Punt
9,82.0,End of Half
10,78.0,Punt
11,89.0,Touchdown
12,77.0,Missed FG
13,58.0,Punt
14,93.0,Punt
15,58.0,Field Goal
16,56.0,Touchdown
17,80.0,Punt
18,48.0,Touchdown
19,82.0,Fumble
20,18.0,Touchdown
21,78.0,Touchdown
22,87.0,Punt
23,81.0,Interception
0,70.0,Field Goal
1,63.0,Touchdown
2,79.0,Interception
3,61.0,Fumble
4,89.0,Interception
5,77.0,Touchdown
6,69.0,Punt
7,75.0,Punt
8,58.0,Downs
9,99.0,End of Half
10,83.0,Touchdown
11,85.0,Interception
12,33.0,Touchdown
13,80.0,Punt
14,91.0,Punt
15,87.0,Punt
16,54.0,Punt
17,80.0,Touchdown
18,80.0,Punt
19,80.0,Interception
20,7.0,Touchdown
21,74.0,Touchdown
22,77.0,Punt
0,86.0,Touchdown
1,70.0,Field Goal
2,88.0,Punt
3,79.0,Field Goal
4,67.0,Punt
5,71.0,Punt
6,78.0,Punt
7,90.0,Interception
8,37.0,Touchdown
9,45.0,Field Goal
10,74.0,Punt
11,49.0,Field Goal
12,66.0,Punt
13,93.0,Punt
14,55.0,Punt
15,95.0,Field Goal
16,74.0,Punt
17,68.0,Punt
18,74.0,Punt
19,96.0,Touchdown
20,76.0,Punt
21,66.0,Punt
22,79.0,Interception
0,85.0,Punt
1,80.0,Punt
2,69.0,Punt
3,91.0,Punt
4,65.0,Downs
5,80.0,Punt
6,73.0,Punt
7,83.0,Punt
8,71.0,Touchdown
9,80.0,Downs
10,81.0,Field Goal
11,73.0,Punt
12,80.0,Punt
13,69.0,Field Goal
14,83.0,Touchdown
15,80.0,Punt
16,52.0,Interception
17,60.0,End of Half
18,71.0,Punt
19,80.0,Punt
20,90.0,Missed FG
21,57.0,Missed FG
22,71.0,Punt
0,73.0,Punt
1,57.0,Punt
2,90.0,Punt
3,47.0,Interception
4,80.0,Punt
5,60.0,Punt
6,80.0,Punt
7,89.0,Punt
8,68.0,Punt
9,19.0,Touchdown
10,42.0,Touchdown
11,77.0,Punt
12,76.0,Punt
13,51.0,Punt
14,89.0,Field Goal
15,80.0,Punt
16,49.0,Field Goal
17,71.0,Punt
18,75.0,Punt
19,52.0,Touchdown
20,92.0,Punt
21,91.0,Fumble
22,76.0,Punt
23,70.0,Punt
24,46.0,Touchdown
25,47.0,Touchdown
26,,
27,74.0,Punt
28,74.0,Interception
29,37.0,Touchdown
30,72.0,Downs
31,20.0,Field Goal
32,70.0,Fumble
0,80.0,Punt
1,75.0,Interception
2,37.0,Missed FG
3,59.0,Punt
4,80.0,Punt
5,80.0,Punt
6,70.0,Field Goal
7,81.0,Punt
8,55.0,Touchdown
9,69.0,Field Goal
10,86.0,End of Half
11,76.0,Punt
12,80.0,Punt
13,93.0,Punt
14,72.0,Punt
15,59.0,Fumble
16,43.0,Touchdown
17,80.0,Interception
18,28.0,Field Goal
19,80.0,Touchdown
20,51.0,Punt
21,98.0,Interception
0,77.0,Punt
1,82.0,Punt
2,65.0,Punt
3,86.0,Punt
4,78.0,Punt
5,87.0,Downs
6,36.0,Field Goal
7,70.0,Fumble
8,66.0,Punt
9,90.0,Punt
10,64.0,Punt
11,78.0,Interception
12,60.0,Missed FG
13,65.0,Punt
14,80.0,End of Half
15,48.0,Punt
16,89.0,Punt
17,80.0,Missed FG
18,72.0,Punt
19,95.0,Interception
20,57.0,Field Goal
21,81.0,Downs
22,65.0,Punt
23,77.0,Downs
24,23.0,Field Goal
0,80.0,Safety
1,64.0,Punt
2,83.0,Touchdown
3,71.0,Field Goal
4,76.0,Punt
5,80.0,Touchdown
6,72.0,Punt
7,74.0,Touchdown
8,72.0,Touchdown
9,85.0,Punt
10,83.0,Interception
11,57.0,End of Half
12,55.0,Punt
13,63.0,Field Goal
14,69.0,Punt
15,91.0,Touchdown
16,80.0,Punt
17,91.0,Field Goal
18,71.0,Touchdown
19,52.0,Touchdown
20,74.0,Punt
21,98.0,Punt
22,58.0,Downs
0,82.0,Punt
1,89.0,Punt
2,80.0,Punt
3,76.0,Touchdown
4,75.0,Touchdown
5,60.0,Punt
6,92.0,Punt
7,58.0,Downs
8,97.0,End of Half
9,73.0,Field Goal
10,80.0,Touchdown
11,59.0,Punt
12,91.0,Punt
13,50.0,Interception
14,37.0,Touchdown
15,71.0,Punt
16,90.0,Punt
17,80.0,Touchdown
18,80.0,Touchdown
0,75.0,Punt
1,88.0,Punt
2,61.0,Touchdown
3,90.0,Punt
4,60.0,Interception
5,67.0,Punt
6,70.0,Punt
7,77.0,Punt
8,16.0,Touchdown
9,80.0,Touchdown
10,75.0,Interception
11,55.0,Downs
12,97.0,Field Goal
13,76.0,Punt
14,82.0,Punt
15,80.0,Touchdown
16,76.0,Touchdown
17,85.0,Fumble
18,80.0,Punt
19,48.0,Touchdown
20,74.0,Touchdown
21,81.0,Interception
22,22.0,Missed FG
23,57.0,Interception
24,94.0,Punt
0,90.0,Punt
1,67.0,Punt
2,71.0,Punt
3,78.0,Punt
4,58.0,Field Goal
5,71.0,Punt
6,87.0,Punt
7,27.0,Punt
8,87.0,Touchdown
9,80.0,Punt
10,67.0,Punt
11,80.0,Punt
12,94.0,Punt
13,55.0,Missed FG
14,59.0,End of Half
15,86.0,Punt
16,94.0,Field Goal
17,64.0,Missed FG
18,80.0,Missed FG
19,65.0,Punt
20,86.0,Field Goal
21,80.0,Interception
22,69.0,Touchdown
23,50.0,Field Goal
24,36.0,Field Goal
25,80.0,Punt
26,66.0,Touchdown
0,80.0,Punt
1,75.0,Punt
2,89.0,Punt
3,51.0,Punt
4,90.0,Punt
5,82.0,Punt
6,44.0,Field Goal
7,74.0,Punt
8,90.0,Punt
9,82.0,Interception
10,36.0,Missed FG
11,59.0,Field Goal
12,59.0,End of Half
13,56.0,Field Goal
14,60.0,Downs
15,59.0,Touchdown
16,68.0,Touchdown
17,81.0,Fumble
18,73.0,Fumble
19,55.0,Touchdown
20,79.0,Interception
0,68.0,Punt
1,60.0,Punt
2,68.0,Punt
3,78.0,Touchdown
4,67.0,Downs
5,53.0,Punt
6,80.0,Interception
7,66.0,Field Goal
8,75.0,Punt
9,84.0,Punt
10,66.0,Field Goal
11,71.0,Punt
12,82.0,End of Half
13,70.0,Touchdown
14,59.0,Touchdown
15,70.0,Field Goal
16,86.0,Touchdown
17,76.0,Field Goal
18,71.0,Punt
19,73.0,Punt
20,96.0,Fumble
0,80.0,Touchdown
1,68.0,Punt
2,69.0,Punt
3,67.0,Punt
4,80.0,Punt
5,63.0,Punt
6,83.0,Punt
7,84.0,Punt
8,63.0,Punt
9,87.0,Field Goal
10,67.0,Punt
11,75.0,Touchdown
12,84.0,End of Half
13,69.0,Fumble
14,47.0,Touchdown
15,77.0,Interception
